Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
Blair Witch,True,Blair Witch,5.14,5.95,10.17,5.6,64.0,"Amazon Luna, Nintendo Switch, Meta Quest, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Blair Witch
Blazing Sails,True,Blazing Sails,1.5,0.0,0.0,1.5,49.0,PC,2020.0,1.0,1.0,Blazing Sails
Blood West,True,Blood West,13.56,22.01,34.73,22.39,74.0,"PC, PlayStation 5, Xbox Series X/S",2022.0,1.0,1.0,Blood West
Bloodstained: Ritual of the Night,True,Bloodstained: Ritual of the Night,14.04,20.68,35.56,21.34,79.0,"Amazon Luna, Google Stadia, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Bloodstained: Ritual of the Night
Bloons TD 6,True,Bloons TD 6,36.42,117.22,591.21,116.69,78.0,"Mac, Mobile, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Bloons TD 6
Borderlands 2 - Commander Lilith & the Fight for Sanctuary,False,,,,,,,,,,,
Borderlands 3,True,Borderlands 3,23.37,46.27,84.06,42.78,74.0,"Google Stadia, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2019.0,1.0,1.0,Borderlands 3
Borderlands: The Handsome Collection,True,Borderlands: The Handsome Collection,50.68,104.48,220.51,94.55,79.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Borderlands: The Handsome Collection
Borderlands: The Pre-Sequel,True,Borderlands: The Pre-Sequel!,18.11,29.36,60.51,27.43,70.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014.0,0.9818181818181818,1.0,Borderlands: The Pre-Sequel
Botanicula,True,Botanicula,3.45,3.83,4.94,3.94,75.0,"Mobile, PC",2012.0,1.0,1.0,Botanicula
Botany Manor,True,Botany Manor,3.43,3.97,4.14,3.93,78.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2024.0,1.0,1.0,Botany Manor
Bouncemasters,True,Bouncemasters,2.42,0.0,0.0,2.42,70.0,"Mobile, PC",2018.0,1.0,1.0,Bouncemasters
Boxes: Lost Fragments,True,Boxes: Lost Fragments,3.79,3.83,4.04,3.97,75.0,"Mobile, PC",2024.0,1.0,1.0,Boxes: Lost Fragments
Breathedge,True,Breathedge,16.31,24.56,33.34,23.92,65.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Breathedge
Bridge Constructor: The Walking Dead,True,Bridge Constructor: The Walking Dead,8.62,10.91,14.63,10.55,64.0,"Linux, Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,Bridge Constructor: The Walking Dead
Broken Sword : Reforged,False,,,,,,,,,,,
Brotato,True,Brotato,5.38,22.84,63.65,34.32,77.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Brotato
Brothers: A Tale of Two Sons,True,Brothers: A Tale of Two Sons,3.08,3.5,4.04,3.38,80.0,"Mobile, Nintendo Switch, PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2013.0,1.0,1.0,Brothers: A Tale of Two Sons
Bus Simulator 21 Next Stop,True,Bus Simulator 21,25.22,26.0,51.5,43.46,56.0,"PC, PlayStation 4, Xbox One",2021.0,0.981132075471698,0.9,Bus Simulator 21 Next Stop
CYGNI - All Guns Blazing,False,,,,,,,,,,,
Call of the Sea,True,Call of the Sea,5.65,6.22,7.36,6.21,74.0,"Meta Quest, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,Call of the Sea
Call of the Wild: The Angler™,False,,,,,,,,,,,
Car Mechanic Simulator 2018,True,Car Mechanic Simulator 2018,27.88,82.11,89.8,60.55,71.0,"PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Car Mechanic Simulator 2018
Carcassonne,True,Carcassonne,3.5,4.0,8.56,5.59,68.0,Xbox 360,2007.0,1.0,1.0,Carcassonne
Cassette Beasts,True,Cassette Beasts,19.75,27.28,54.48,28.46,80.0,"Linux, Nintendo Switch, PC, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Cassette Beasts
Castlevania Anniversary Collection,True,Castlevania Anniversary Collection,22.51,27.86,29.01,25.99,77.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Castlevania Anniversary Collection
Cat Quest,True,Cat Quest,5.62,7.99,10.66,8.06,73.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5",2017.0,1.0,1.0,Cat Quest
Cat Quest 2,True,Cat Quest II,7.56,9.57,12.54,10.72,76.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,0.9,Cat Quest 2
Cat Quest II,True,Cat Quest II,7.56,9.57,12.54,10.72,76.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Cat Quest II
Cave Story+,True,Cave Story+,6.31,8.62,11.16,7.47,79.0,"Nintendo 3DS, Nintendo Switch, PC, Wii",2011.0,1.0,1.0,Cave Story+
Celeste,True,Celeste,8.31,14.66,39.2,12.74,88.0,"Google Stadia, Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Celeste
Centipede: Recharged,True,Centipede: Recharged,2.14,3.05,3.83,3.14,59.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Centipede: Recharged
Chess Ultra,True,Chess Ultra,1.96,5.0,8.52,2.94,55.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Chess Ultra
Chivalry 2,True,Chivalry II,13.29,43.26,70.58,35.81,73.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,0.9,Chivalry 2
Chuchel,True,Chuchel,2.08,2.31,2.61,2.32,68.0,"Mobile, PC",2018.0,1.0,1.0,Chuchel
Circus Electrique,True,Circus Electrique,16.15,26.08,41.4,22.49,63.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Circus Electrique
Cities: Skylines,True,Cities: Skylines,27.6,68.32,183.32,55.8,78.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2015.0,1.0,1.0,Cities: Skylines
City of Brass,True,City Of Brass,4.36,11.84,15.9,5.66,50.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,City of Brass
City of Gangsters,True,City of Gangsters,35.63,0.0,0.0,35.63,52.0,PC,2021.0,1.0,1.0,City of Gangsters
Clash - Lone Fighter Pack,False,,,,,,,,,,,
Clone Drone in the Danger Zone,True,Clone Drone in the Danger Zone,2.12,15.09,37.91,6.91,72.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2017.0,1.0,1.0,Clone Drone in the Danger Zone
Close to the Sun,True,Close To The Sun,4.11,5.21,6.15,4.88,64.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Close to the Sun
Conarium,True,Conarium,4.07,4.79,5.58,4.55,66.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Conarium
Control,True,Control,11.71,19.2,28.9,17.64,80.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2019.0,1.0,1.0,Control
"Cook, Serve, Delicious! 3?!",True,"Cook, Serve, Delicious! 3?!",46.42,53.63,86.28,72.11,74.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2020.0,1.0,1.0,"Cook, Serve, Delicious! 3?!"
Costume Quest,True,Costume Quest,5.55,6.62,7.45,6.75,73.0,"Linux, Mac, Mobile, PC, PlayStation 3, Xbox 360",2010.0,1.0,1.0,Costume Quest
Costume Quest 2,True,Costume Quest 2,6.75,7.89,9.53,8.23,71.0,"PC, PlayStation 3, PlayStation 4, Wii U, Xbox 360, Xbox One",2014.0,1.0,1.0,Costume Quest 2
