daterange_wiki,title_wiki,year_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
6-13 January 2022,Gods Will Fall,2022,https://dtf.ru/sale/1022641-v-epic-games-store-nachalas-razdacha-gods-will-fall,,,,,,,,,,,,,,,,
13-20 January 2022,Galactic Civilizations III,2022,https://www.igromania.ru/news/112539/V_Epic_Games_Store_nachalas_besplatnaya_razdacha_Galactic_Civilizations_III.html,https://en.wikipedia.org/wiki/Galactic_Civilizations_III,Stardock,Stardock,"May 14, 2015",,,,Akil Dawkins,,Microsoft Windows,Paul Boyer,,Nathan Hanish,,"Galactic Civilizations III is a 4X turn-based strategy video game developed by Stardock for Microsoft Windows. It is the sequel to 2006's Galactic Civilizations II: Dread Lords.  The full version of the game was released in May 2015. The game's first expansion, titled Mercenaries, was released in February 2016.","In October 2013, Stardock announced that the third installment in the Galactic Civilizations series was in production. A pre-release version was made available through Steam in March 2014, which allowed customers to play the game while it is still in development. It was the first game in the series to feature multiplayer and hex-based game tiles."
20-27 January 2022,Relicta,2022,https://dtf.ru/sale/1043545-v-epic-games-store-nachalas-razdacha-relicta-golovolomki-s-mehanikami-osnovannymi-na-zakonah-fiziki,,,,,,,,,,,,,,,,
27 January - 3 February 2022,Daemon X Machina,2022,https://stopgame.ru/newsdata/51809/v_egs_nachalas_razdacha_daemon_x_machina_ekshena_pro_zdorovennyh_boevyh_robotov,https://en.wikipedia.org/wiki/Daemon_X_Machina,Marvelous First Studio,,"Nintendo SwitchSeptember 13, 2019WindowsFebruary 13, 2020",,Unreal Engine 4,,,,,Noriaki Maruyama,,Yuta Kawano,,"Daemon X Machina is a 2019 action game developed and published by Marvelous for the Nintendo Switch. A Windows port was released in 2020. A sequel, Daemon X Machina: Titanic Scion, was released on September 5, 2025.",
3-10 February 2022,Yooka-Laylee and the Impossible Lair,2022,https://dtf.ru/sale/1063683-v-epic-games-store-nachalas-razdacha-platformera-yooka-laylee-and-the-impossible-lair-ot-avtorov-donkey-kong-country,https://en.wikipedia.org/wiki/Yooka-Laylee_and_the_Impossible_Lair,Playtonic Games,Team17,"Switch, PS4, Windows, Xbox OneOctober 8, 2019LunaOctober 20, 2020",Platform,Unity,,,,,,,,Single-player,"Yooka-Laylee and the Impossible Lair is a platform game developed by Playtonic Games and published by Team17 in 2019. A spin-off to Yooka-Laylee (2017), the game was released digitally for Nintendo Switch, PlayStation 4, Windows, and Xbox One on October 8, 2019, followed by a version for Amazon Luna on October 20, 2020.",
10-17 February 2022,Windbound,2022,https://www.igromania.ru/news/113416/V_Epic_Games_Store_besplatno_otdayut_priklyuchenie-vyzhivalku_Windbound.html,,,,,,,,,,,,,,,,
17-24 February 2022,Brothers: A Tale of Two Sons,2022,https://www.igromania.ru/news/113645/V_Epic_Games_Storebesplatno_razdayut_priklyuchenie_Brothers-A_Tale_of_Two_Sons.html,https://en.wikipedia.org/wiki/Brothers%3A_A_Tale_of_Two_Sons,Starbreeze Studios,505 Games,"7 August 2013, Xbox 360  7 August 2013, PlayStation 3, Windows  3 September 2013, PlayStation 4, Xbox One  12 August 2015,  iOS  22 October 2015, Android, Windows Phone  26 May 2016,  Nintendo Switch  28 May 2019,  Amazon Luna  20 October 2020,  PS5, Xbox Series X/S  28 February 2024",Adventure,Unreal Engine 3,Josef Fares,Claes Engdal,Gustaf Grefberg,,Filip Coulianos,,Carl Granberg,,"Brothers: A Tale of Two Sons is a 2013 adventure game developed by Starbreeze Studios and published by 505 Games for Xbox 360, Microsoft Windows, PlayStation 3, PlayStation 4, Xbox One, iOS, Android, Windows Phone, Nintendo Switch, and Amazon Luna. The narrative takes place in a fantasy world filled with fictitious creatures such as orcs and trolls, where two young brothers set out on a journey to find a cure for their father's illness. The game is often mentioned as an example of artistry in video games due to its heavy narrative. It received positive reviews from critics and had sold over 800,000 units by January 2015.",
24 February - 3 March 2022,Cris Tales,2022,https://overclockers.ru/softnews/show/117014/v-epic-games-store-daryat-cris-tales-a-na-sledujuschej-nedele-razdadut-srazu-tri-podarka,https://en.wikipedia.org/wiki/Cris_Tales,,Modus Games,"July 20, 2021",Role-playing,,,,Tyson Wernli,,,,,Single-player,"Cris Tales (stylized as CrisTales) is a role-playing video game developed by Colombian indie game studios Dreams Uncorporated and Syck, and published by Modus Games. It was released for Google Stadia, Microsoft Windows, Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, and Xbox Series X/S on July 20, 2021.",
3-10 March 2022,Black Widow Recharged,2022,https://dtf.ru/sale/1022121-v-epic-games-store-nachalas-razdacha-tvin-stik-shuterov-black-widow-recharged-i-centipede-recharged,,,,,,,,,,,,,,,,
10-17 March 2022,Cities: Skylines,2022,https://www.igromania.ru/news/114280/Na_sleduyuschey_nedele_v_Epic_Games_Store_besplatno_razdadut_horror_In_Sound_Mind.html,https://en.wikipedia.org/wiki/Cities%3A_Skylines,,Paradox Interactive,"Linux, macOS, Windows10 March 2015Xbox One21 April 2017PlayStation 415 August 2017Nintendo Switch13 September 2018Google Stadia17 May 2022PS5, Xbox Series X/S15 February 2023",,Unity,,Antti Isosomppi,,,,,,Single-player,"Cities: Skylines is a 2015 city-building game developed by Colossal Order and published by Paradox Interactive. The game is a single-player open-ended city-building simulation. Players engage in urban planning by controlling zoning, road placement, taxation, public services, and public transportation of an area. They also work to manage various elements of the city, including its budget, health, employment, traffic, and pollution levels. It is also possible to maintain a city in a sandbox mode, which provides more creative freedom for the player.","Cities: Skylines is a progression of development from Colossal Order's previous Cities in Motion titles, which focused on designing effective transportation systems. While Colossal felt they had the technical expertise to expand the Cities gameplay into a more full-featured city simulation game, their publisher Paradox Interactive initially held off on the idea, fearing the market dominance of the SimCity series. However, they reconsidered after the critical failure of the 2013 SimCity game, which provided an opportunity for Paradox to establish a competing franchise. Colossal's goal was to create a game engine capable of simulating the daily routines of nearly a million unique citizens, while presenting this to the player in a simple way, allowing the player to easily understand various problems in their city's design. This includes realistic traffic congestion, and the effects of congestion on city services and districts. Since the game's release, various expansions and other DLC have been released for the game. The game also has built-in support for user-generated content.

The game was first released for the Windows, macOS, and Linux operating systems on 10 March 2015. Console ports by Tantalus Media were released for the Xbox One and PlayStation 4 game consoles in 2017, for the Nintendo Switch in September 2018, and for Google Stadia in May 2022. A remastered edition, also by Tantalus, was released for the PlayStation 5 and Xbox Series X/S in February 2023. The game received favourable reviews from critics, and was a commercial success, with more than twelve million copies sold on all platforms as of June 2022."
17-24 March 2022,In Sound Mind,2022,https://dtf.ru/sale/1121909-v-epic-games-store-nachalas-razdacha-in-sound-mind,https://en.wikipedia.org/wiki/In_Sound_Mind,We Create Stuff,Modus Games,"PS5, Win, Xbox WW: September 28, 2021, Switch WW: October 11, 2022",,Unity,Hen Matshulski,,,,,,,Single-player,In Sound Mind is a 2021 psychological horror game developed by We Create Stuff and published by Modus Games.,
24-31 March 2022,Demon’s Tilt,2022,https://www.igromania.ru/news/114724/V_EGS_budut_besplatno_otdavat_City_of_Brass_i_vozmozhno_Total_War_Warhammer.html,,,,,,,,,,,,,,,,
31 March - 7 April 2022,Total War: Warhammer,2022,https://www.gry-online.pl/newsroom/total-war-warhammer-od-dzis-za-darmo-w-epic-games-store/z121923,https://en.wikipedia.org/wiki/Total_War%3A_Warhammer,Creative Assembly,Sega,Windows24 May 2016Linux22 November 2016macOS18 April 2017,,,,,,,,Andy Hall,,,Total War: Warhammer is a 2016 turn-based strategy and real-time tactics video game developed by Creative Assembly and published by Sega for Windows via the Steam gaming platform. The game was brought to macOS and Linux by Feral Interactive. The game features the gameplay of the Total War series with factions of Games Workshop's Warhammer Fantasy series; it is the first Total War game not to portray a historical setting. It is the tenth title in the Total War series and the first title to be released in the Total War: Warhammer trilogy.,"Like previous titles in the Total War series, gameplay unfolds both on a scale of kingdoms in a turn-based strategy campaign, managing cities and the movement of armies, and on a smaller scale in real-time tactics skirmishes and sieges, managing the movement and actions of individual units and characters within an army during a battle. The player controls one of several fantasy factions, each with their own units, characters and abilities. These include Dwarfs, Human factions, Greenskins and Vampire Counts at launch, with more added as paid downloadable content.

Total War: Warhammer was largely well received by critics, and sold over half a million copies in its first few days on sale. Total War: Warhammer was followed by two sequels: Total War: Warhammer II (2017) and Total War: Warhammer III (2022)."
7-14 April 2022,Rogue Legacy,2022,https://dtf.ru/sale/1149470-v-epic-games-store-nachalas-razdacha-rogue-legacy-i-the-vanishing-of-ethan-carter,https://en.wikipedia.org/wiki/Rogue_Legacy,Cellar Door Games,Cellar Door Games,"June 27, 2013, WindowsJune 27, 2013Linux & OS XOctober 15, 2013 PS3, PS4, PS VitaNA: July 29, 2014PAL: July 30, 2014JP: April 8, 2015Xbox OneMay 27, 2015Nintendo SwitchNovember 6, 2018iOSAugust 8, 2019",,Microsoft XNA,,Glauber Kotaki,,,Teddy Lee,,Kenny Lee,Single-player,"Rogue Legacy is a 2013 platform game with roguelike elements developed and published by Cellar Door Games. The game was released for Microsoft Windows, Linux, OS X, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox One, Nintendo Switch, and iOS. A sequel, Rogue Legacy 2, was released on April 28, 2022 for Microsoft Windows, Xbox Series X/S and Xbox One.",
14-21 April 2022,Insurmountable,2022,https://www.igromania.ru/news/115333/V_Epic_Games_Store_besplatno_otdayut_XCOM_2_i_gornoe_priklyuchenie_Insurmountable.html,https://en.wikipedia.org/wiki/Insurmountable,,,,,,,,,,,,,,,
21-28 April 2022,Riverbond,2022,https://www.igromania.ru/news/115521/V_Epic_Games_Store_besplatno_otdayut_Riverbond_i_Amnesia_Rebirth.html,,,,,,,,,,,,,,,,
28 April - 5 May 2022,Just Die Already,2022,https://dtf.ru/sale/1168940-v-epic-games-store-nachalas-razdacha-advenchury-paradigm-i-simulyatora-starogo-zlobnogo-hrycha-just-die-already,,,,,,,,,,,,,,,,
5-12 May 2022,Terraforming Mars,2022,https://dtf.ru/sale/1185103-v-epic-games-store-nachalas-razdacha-poshagovoy-ekonomicheskoy-strategii-terraforming-mars,https://en.wikipedia.org/wiki/Terraforming_Mars,,,,,,,,,,,,,,,
12-19 May 2022,Jotun: Valhalla Edition,2022,https://dtf.ru/sale/1191348-v-epic-games-store-nachalas-razdacha-jotun-i-redout-v-magazine-takzhe-mozhno-zabrat-prey-no-ne-v-rossii,https://en.wikipedia.org/wiki/Jotun%3A_Valhalla_Edition,Thunder Lotus Games,Thunder Lotus Games,"Windows, OS X, LinuxSeptember 29, 2015Wii USeptember 8, 2016PlayStation 4, Xbox OneSeptember 9, 2016Nintendo SwitchApril 27, 2018StadiaMay 26, 2020",,Unity,,,Maxime Lacoste-Lebuis,,,,,Single-player,"Jøtun is an action-adventure video game developed by Thunder Lotus Games. It was released for Windows, OS X, and Linux on September 29, 2015. The Wii U version was released on September 8, 2016, while the PlayStation 4 and Xbox One versions were released on September 9, 2016. The Nintendo Switch version was released on April 27, 2018. The Stadia version was released on May 26, 2020.",
19-26 May 2022,Borderlands 3,2022,https://www.polygon.com/23130579/borderlands-3-free-pc-epic-games-store-mega-sale-vault,https://en.wikipedia.org/wiki/Borderlands_3,Gearbox Software,2K,"13 September 2019, PlayStation 4, Windows, Xbox One13 September 2019 macOS30 October 2019 Stadia17 December 2019Xbox Series X/S10 November 2020PlayStation 512 November 2020Nintendo Switch6 October 2023",,Unreal Engine 4,Paul Sage,Scott Kester,,,Keith Schuler,,,,"Borderlands 3 is a 2019 action role-playing first-person shooter video game developed by Gearbox Software and published by 2K. It is a sequel to 2012's Borderlands 2, and the fourth entry in the main Borderlands series. Borderlands 3 was released on 13 September 2019 for PlayStation 4, Windows, and Xbox One, and released for macOS on 30 October 2019. A Stadia port was released on 17 December 2019. Versions for the Xbox Series X and Series S and PlayStation 5 including free upgrades for users on the prior console versions were released on 10 and 12 November 2020, respectively. A Nintendo Switch version was released on 6 October 2023.","Players complete quests and side missions, in single-player or multiplayer, as one of four classes. When killed, enemies may drop weapons and gear which can be equipped. New abilities are unlocked as the player gains experience. The plot is centered on four new Vault Hunters recruited by the Crimson Raiders of Pandora to stop twins Troy and Tyreen Calypso and their insane cult followers from harnessing the power of the alien Vaults spread across the galaxy.

Upon release, Borderlands 3 received generally favorable reviews with praise directed to its gameplay, though some criticized the lack of innovation, technical issues, and writing. The initial sales of the game were the highest of the Borderlands series: more than five million copies were sold in five days. A sequel, Borderlands 4, was released on September 12, 2025."
26 May - 2 June 2022,"BioShock: The Collection
BioShock Remastered
BioShock 2 Remastered
BioShock Infinite: The Complete Edition",2022,https://www.pcgamesn.com/bioshock-the-collection/free-game-epic-store,https://en.wikipedia.org/wiki/BioShock%3A_The_Collection,Blind Squirrel Games,2K,"September 13, 2016,  PlayStation 4, Xbox One,  NA: September 13, 2016WW: September 15, 2016,  Windows,  WW: September 16, 2016,  macOS,  WW: August 22, 2017,  Nintendo Switch,  WW: May 29, 2020",First-person shooter,,,,,,,,,Single-player,,
2-9 June 2022,Wolfenstein: The New Order,2022,https://www.vg247.com/wolfenstein-the-new-order-epic-games-store-freebie,https://en.wikipedia.org/wiki/Wolfenstein%3A_The_New_Order,MachineGames,Bethesda Softworks,20 May 2014,First-person shooter,id Tech 5,,,Mick Gordon,,Jerk Gustafsson,,Jim Kjellin,Single-player,,
9-16 June 2022,Maneater,2022,https://dtf.ru/sale/1224659-v-epic-games-store-nachalas-razdacha-maneater,https://en.wikipedia.org/wiki/Maneater,,,,,,,,,,,,,,Maneater or man-eater may refer to:,
16-23 June 2022,Supraland,2022,https://games.mail.ru/pc/news/2022-06-16/startovala-besplatnaya-razdacha-priklyucheniya-supraland/,https://en.wikipedia.org/wiki/Supraland,Supra Games,,"WindowsWW: April 5, 2019Nintendo Switch, PlayStation 4, Xbox OneWW: October 22, 2020",,Unreal Engine 4,,,,,,,,Single-player,"Supraland is a Metroidvania-styled video game developed by Supra Games. The game was originally self-published for PC and left early access on April 5, 2019. Ports for the eighth generation of video game consoles, with Humble Games as publisher, were released on October 22, 2020. Players assume control of a toy figurine and explore a series of themed areas within a child's sandbox.","Supraland is primarily developed by Supra Games founder David Münnich, who wanted to create an adventure video game based primarily on the Metroidvania subgenre, which is primarily characterized by guided non-linearity as well as utility-gated exploration and progression mechanics. Supraland is played from a first-person perspective, which Münnich believes allows players to provide a superior sense of immersion within the in-game world as opposed to one that is played from a third-person perspective.

Supraland was met with mostly positive reviews, which praised the game's gameplay mechanics. A standalone expansion, titled Supraland Six Inches Under, was released on January 14, 2022, and serves as a sequel to Supraland. A full-fledged sequel is currently under development."
23-30 June 2022,Car Mechanic Simulator 2018,2022,https://www.igromania.ru/news/117243/V_EGS_besplatno_razdayut_nastolku_po_Igre_prestolov_i_simulyator_avtomehanika.html,https://en.wikipedia.org/wiki/Car_Mechanic_Simulator_2018,Red Dot Games,PlayWay S.A.,"July 28, 2017, Microsoft WindowsWW: July 28, 2017iOS, AndroidWW: June 22, 2018Nintendo SwitchWW: February 15, 2019PlayStation 4, Xbox OneWW: June 25, 2019",Vehicle simulation,Unity,,,,,,,,Single-player,"Car Mechanic Simulator 2018 is a simulation video game developed by Polish studio Red Dot Games depicting the work of an automotive mechanic. It was released on July 28, 2017, for Microsoft Windows; in 2019 on February 15 for Nintendo Switch and June 25 for PlayStation 4 and Xbox One. A simplified version for mobile platforms was released in June 2018. It is the third game in the Car Mechanic Simulator series and was followed up by Car Mechanic Simulator 2021 in August 2021.",
30 June - 7 July 2022,Hood: Outlaws & Legends,2022,https://stopgame.ru/newsdata/53944/troynoy_podarok_v_egs_hood_outlaws_legends_iratus_lord_of_the_dead_i_geneforge_1_mutagen,https://en.wikipedia.org/wiki/Hood%3A_Outlaws_%26_Legends,Sumo Newcastle,Focus Home Interactive,10 May 2021,Action,Unreal Engine 4,Andrew Willans,,,,,,,Multiplayer,"Hood: Outlaws & Legends was a 2021 action game developed by Sumo Newcastle and published by Focus Home Interactive. The game was released for PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X and Series S on 10 May 2021. It received mixed reviews from critics. The game was shut down and is no longer accessible as of 18 February 2025.",
7-14 July 2022,Killing Floor 2,2022,https://dtf.ru/sale/1260194-v-epic-games-store-nachalas-razdacha-ancient-enemy-i-killing-floor-2,https://en.wikipedia.org/wiki/Killing_Floor_2,,Tripwire Interactive,"Microsoft Windows, PlayStation 4November 18, 2016Xbox OneAugust 28, 2017",,Unreal Engine 3,,David Hensley,zYnthetic,,,,Andrew Ladenberger,,"Killing Floor 2 is a first-person shooter video game developed and published by Tripwire Interactive, with later support from Saber Interactive. It is a sequel to 2009's Killing Floor. An early access version of the game was released for Microsoft Windows in April 2015, and the game was released in November 2016 for Windows and PlayStation 4 and August 2017 for Xbox One. The game utilizes Epic Games' Unreal Engine 3. A sequel, Killing Floor 3, was released in July 2025.",
14-21 July 2022,Wonder Boy: The Dragon’s Trap,2022,https://3dnews.ru/1070209/egs-zapustil-razdachu-platformera-wonder-boy-the-dragons-trap-i-bogatogo-nabora-dlya-strategii-idle-champions-of-the-forgotten-realms,,,,,,,,,,,,,,,,
21-28 July 2022,Tannenberg,2022,https://kanobu.ru/news/v-epic-games-store-nachalas-besplatnaya-razdacha-tannenberg-454513/,https://en.wikipedia.org/wiki/Tannenberg,,,,,,,,,,,,,,Tannenberg may refer to,
28 July - 4 August 2022,Lawn Mowing Simulator,2022,https://3dnews.ru/1071084/novaya-razdacha-epic-games-store-predlagaet-stat-gazonokosilshchikom-v-lawn-mowing-simulator,https://en.wikipedia.org/wiki/Lawn_Mowing_Simulator,,,,,,,,,,,,,,"Curve Games Limited (formerly Curve Digital Limited and Curve Studios Limited) is a British video game publisher and former video game developer based in London, founded in 2005 by Jason Perkins. It focuses on the publishing of indie games.",
4-11 August 2022,Unrailed!,2022,https://m.igromania.ru/news/118264/V_EGS_besplatno_otdayut_simulyator_postroyki_zheleznoy_dorogi_Unrailed!.html,https://en.wikipedia.org/wiki/Unrailed%21,Indoor Astronaut,Daedalic Entertainment,"September 23, 2020Xbox OneOctober 27, 2020",Action,MonoGame,,,,,,,,,"Unrailed! is a cooperative construction game developed by Swiss video game developer Indoor Astronaut, and published by Daedalic Entertainment. In China, the game is published by Bilibili.","The game initially entered early access on September 9, 2019, and was officially released on September 23, 2020 for Windows, macOS, Linux, PlayStation 4, and Nintendo Switch, and on October 27, 2020 for Xbox One.

A sequel, Unrailed 2: Back on Track, was announced on November 30, 2023, and released into early access on November 7, 2024. The full game is currently set to release for Windows, macOS, Nintendo Switch, and Nintendo Switch 2 in May 2026, with a PlayStation 5 port coming at a later date."
11-18 August 2022,"Cook, Serve, Delicious! 3?!",2022,https://kanobu.ru/news/v-egs-startovala-razdacha-cook-serve-delicious-3-455283/,https://en.wikipedia.org/wiki/Cook%2C_Serve%2C_Delicious%21_3%3F%21,Vertigo Gaming,Vertigo Gaming,"Windows, Switch, PS4, Xbox OneOctober 14, 2020Amazon LunaOctober 20, 2020macOSNovember 19, 2020",Simulation,GameMaker Studio,,,Jonathan Geer,,David Galindo,,,,"Cook, Serve, Delicious! 3 (stylized as 3?!) is a restaurant simulation game developed by Vertigo Gaming. It was released for Windows via Steam early access in January 2020, and was fully released on October 14, 2020 alongside versions for Nintendo Switch, PlayStation 4, and Xbox One, with a version for Amazon Luna releasing on October 20, 2020. It is the sequel to Cook, Serve, Delicious! 2.",
18-25 August 2022,Набор «Boom Boxer Pack» для Rumbleverse,2022,https://dtf.ru/sale/1316920-v-epic-games-store-nachalas-razdacha-doom-64,,,,,,,,,,,,,,,,
25 August - 1 September 2022,Ring of Pain,2022,https://kanobu.ru/news/na-sleduyuschej-nedele-v-egs-besplatno-razdadut-shadow-of-the-tomb-raider-455790/,,,,,,,,,,,,,,,,
1-8 September 2022,Shadow of the Tomb Raider,2022,https://kanobu.ru/news/v-egs-startovala-razdacha-shadow-of-the-tomb-raider-i-submerged-hidden-depths-456057/,https://en.wikipedia.org/wiki/Shadow_of_the_Tomb_Raider,Eidos-Montréal,Square Enix,"September 14, 2018, PlayStation 4, Windows, Xbox OneSeptember 14, 2018Linux, macOSNovember 5, 2019StadiaNovember 19, 2019",Action-adventure,,Daniel Chayer-Bisson,,Brian D'Oliveira,,,,Frédéric Robichaud,,"Shadow of the Tomb Raider is a 2018 action-adventure game developed by Eidos-Montréal and published by Square Enix. The game is the sequel to Rise of the Tomb Raider (2015) and is the twelfth mainline entry in the Tomb Raider series, as well as the third and final entry of the Survivor trilogy. The game's story follows Lara Croft as she ventures through the tropical regions of the Americas to the legendary city Paititi, battling the paramilitary organization Trinity and racing to stop a Mayan apocalypse she has unleashed. Lara must traverse the environment and combat enemies with firearms and stealth as she explores semi-open hubs. In these hubs she can raid challenge tombs to unlock new rewards, complete side missions, and scavenge for resources which can be used to craft useful materials.","Crystal Dynamics would not return as the main developer due to them working on Marvel's Avengers (2020), instead Eidos-Montréal was chosen to lead the game's development. Development began in 2015 following the completion of Rise of the Tomb Raider, lasting until July 2018. It was designed to conclude Lara's origin journey which begun in the 2013 reboot, with a key theme being descent both through the jungle environment and into her personality. The setting and narrative was based on Mayan, Incan and Aztec mythologies, with the team consulting historians to create the architecture and people of Paititi. Camilla Luddington returned to provide voice and motion-capture work for Lara. The game cost an estimated US$110–135 million to develop, making it one of the most expensive games ever made.

It was released for PlayStation 4, Windows, and Xbox One in September 2018. Versions for Linux and macOS, and Stadia, were released in November 2019. The game received generally favorable reviews from critics, though it was not as well-received as its predecessors. It was praised for its gameplay, its emphasis on challenge tombs and puzzles and its level design, although its story, Lara's characterization and progression system were criticized. While opening to slow sales, the game eventually sold over 8.9 million units worldwide. After release, the game was expanded upon with downloadable content in both a season pass and as standalone releases. An animated television series continuation, Tomb Raider: The Legend of Lara Croft, premiered on Netflix in 2024, while another mainline game, Tomb Raider: Catalyst, will be released in 2027."
8-15 September 2022,Hundred Days,2022,https://www.igromania.ru/news/119084/V_Epic_Games_Store_besplatno_otdayut_simulyator_vinodeliya_Hundred_Days.html,https://en.wikipedia.org/wiki/Hundred_Days,,,,,,,,,,,,,,,
15-22 September 2022,Spirit of the North,2022,https://dtf.ru/sale/1355484-v-epic-games-store-nachalas-razdacha-ekshena-o-lise-spirit-of-the-north-i-advenchury-o-polete-cherez-vselennuyu-the-captain,https://en.wikipedia.org/wiki/Spirit_of_the_North,Infuse Studio,,"November 1, 2019, PS4November 1, 2019Microsoft Windows, SwitchMay 7, 2020PS5November 26, 2020 Xbox One, Xbox Series X/SJune 29, 2021",Adventure,Unreal Engine 4,,,Joseph Gifford,,,,,Single-player,"Spirit of the North is a third-person adventure game developed by Infuse Studio and published by Merge Games. It was released on November 1, 2019 for PlayStation 4, then on May 7, 2020 for Windows and Nintendo Switch. It was re-released as Spirit of the North: Enhanced Edition for PlayStation 5 and Xbox Series X/S on November 26, 2020 and June 29, 2021 respectively. The game contains no dialog or narrative, and is about a fox that gains the powers of a spirit after collapsing from exhaustion.","Spirit of the North received mixed reviews from critics, who praised its art design and soundtrack, but predominantly criticized its gameplay and visual performance. The Enhanced Edition received similar reviews, mainly on account of its controls and gameplay. A sequel, Spirit of the North 2, was announced in October 2023 and released on May 8, 2025.

The game received an aggregate score of 58/100 on Metacritic for its original Windows version, indicating ""mixed or average reviews"". Similarly, its Switch version received 59/100, and PlayStation 4 version, 67/100. The PlayStation 5 version received an aggregate score of 64/100."
22-29 September 2022,Ark: Survival Evolved,2022,https://www.igromania.ru/news/119453/V_EGS_besplatno_razdayut_Gloomhaven_i_ARK_Survival_Evolved.html,https://en.wikipedia.org/wiki/Ark%3A_Survival_Evolved,Studio Wildcard,Studio Wildcard,"Linux, macOS, PS4, Windows, Xbox OneAugust 29, 2017Android, iOSJune 14, 2018Nintendo SwitchNovember 30, 2018StadiaSeptember 1, 2021",,Unreal Engine 4,,,Gareth Coker,,,,,,"Ark: Survival Evolved (stylized as ARK) is a 2017 action-adventure survival video game developed by Studio Wildcard. In the game, players must survive being stranded on one of several maps filled with roaming dinosaurs, fictional fantasy monsters, and other prehistoric animals, natural hazards, and potentially hostile human players.","The game is played from either a third-person or first-person perspective and its open world is navigated by foot or by riding a prehistoric animal. Players can use firearms and improvised weapons to defend against hostile humans and creatures, with the ability to build bases as a defence on the ground and on some creatures. The game has both single-player and multiplayer options. Multiplayer allows the option to form tribes of players in a server. The max number of tribe mates varies from each server. In this mode, all tamed dinosaurs and building structures are usually shared between the members. There is a PvE mode where players cannot fight each other unless a specific war event agreed upon by both parties is triggered.

Development began in October 2014, when it was first released on PC as an early access title in the middle of 2015. The development team conducted research into the physical appearance of the animals but took a creative license for gameplay purposes. Instinct Games, Effecto Studios, and Virtual Basement were hired to facilitate the game's development. The game was officially released in August 2017 for Linux, macOS, PlayStation 4, Windows, and Xbox One, with versions for Android, iOS, and Nintendo Switch in 2018, a version for Stadia in 2021, and a second, separate Nintendo Switch version in 2022."
29 September - 6 October 2022,Runbow,2022,https://stopgame.ru/newsdata/55185/v_egs_razdayut_sorevnovatelnyy_platformer_i_simulyator_gonok_na_dronah,https://en.wikipedia.org/wiki/Runbow,13AM Games,13AM Games,"27 August 2015, Wii UNA: 27 August 2015EU: 3 September 2015AU: 23 October 2015WindowsWW: 18 November 2016New Nintendo 3DSNA/EU: 20 June 2017Xbox OneWW: 16 July 2017Nintendo Switch, PS4WW: 3 July 2018",,Unity,Alex Rushdy,,,,,,,,"Runbow is a platform racing video game made for the Wii U and later ported to Microsoft Windows, New Nintendo 3DS, Xbox One, PlayStation 4, and Nintendo Switch. Runbow was developed by Canadian independent video game developer 13AM Games as their debut title, releasing it on 27 August 2015 in North America, 3 September 2015 in Europe, and 23 October 2015 in Australasia. The game was released in Japan on 25 November 2015.",
6-13 October 2022,Rising Hell,2022,https://www.igromania.ru/news/119798/V_Epic_Games_Store_besplatno_otdayut_Rising_Hell_i_Slain_Back_From_Hell.html,,,,,,,,,,,,,,,,
13-20 October 2022,ToeJam & Earl: Back in the Groove,2022,https://dtf.ru/sale/1393132-na-sleduyushchey-nedele-v-epic-games-store-razdadut-fallout-3-game-of-the-year-edition,https://en.wikipedia.org/wiki/ToeJam_%26_Earl%3A_Back_in_the_Groove,HumaNature Studios,,"March 1, 2019",Action platformer,Unity,Greg Johnson,,,,Greg Johnson,,,,"ToeJam & Earl: Back in the Groove is the fourth entry in the ToeJam & Earl series of video games. The game was developed by HumaNature Studios, founded by series creator Greg Johnson, and published by the studio on March 1, 2019.","It is the first new entry in the series since 2002's  ToeJam & Earl III: Mission to Earth, as well as the first entry that Sega had no involvement with. The physical release features a standard red cover design as well as a purple cover variant sold exclusively through Best Buy."
20-27 October 2022,Fallout 3: Game of the Year Edition,2022,https://dtf.ru/sale/1393388-v-epic-games-store-startovala-razdacha-polnogo-izdaniya-fallout-3-ego-mozhno-zabrat-do-27-oktyabrya,https://en.wikipedia.org/wiki/Fallout_3%3A_Game_of_the_Year_Edition,Bethesda Game Studios,Bethesda Softworks,"NA: October 28, 2008PAL: October 31, 2008",Action role-playing,Gamebryo,Todd Howard,Istvan Pely,Inon Zur,,Emil Pagliarulo,Emil Pagliarulo,,Single-player,,
