FROM,TO,DAY,DAYS,TYPE,Title_gsheets,NOTES,COLOR_CATEGORY,Date,Title_wiki,Year,Game Wiki Link,Source Links,Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
2026-01-15 00:00:00,2026-01-22 00:00:00,Thursday,7,,Styx: Master of Shadows,,FFD0E0E3,15-22 January 2026,Styx: Master of Shadows,2026.0,https://ru.wikipedia.org/wiki/Styx:_Master_of_Shadows,https://www.igromania.ru/news/161694/v-epic-games-store-stali-besplatno-otdavat-styx-master-of-shadows-i-shards-of-darkness/,Styx: Master of Shadows,True,Styx: Master of Shadows,16.99,22.37,41.45,23.02,70.0,"PC, PlayStation 4, Xbox One",2014.0,1.0,1.0,Styx: Master of Shadows
2026-01-15 00:00:00,2026-01-22 00:00:00,Thursday,7,,Styx: Shards of Darkness,,FFD0E0E3,,,,,,Styx: Shards of Darkness,True,Styx: Shards of Darkness,12.2,16.56,29.8,16.66,73.0,"PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Styx: Shards of Darkness
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,mobile,Bouncemasters,,FFF4CCCC,,,,,,Bouncemasters,True,Bouncemasters,2.42,0.0,0.0,2.42,70.0,"Mobile, PC",2018.0,1.0,1.0,Bouncemasters
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,dupe,Bloons TD 6,,FFD0E0E3,15 December 2022,Bloons TD 6,2022.0,https://ru.wikipedia.org/w/index.php?title=Bloons_TD_6&action=edit&redlink=1,https://www.igromania.ru/news/121625/V_EGS_startovala_zimnyaya_rasprodazha_i_besplatnaya_razdacha_Bloons_TD_6.html,Bloons TD 6,True,Bloons TD 6,36.42,117.22,591.21,116.69,78.0,"Mac, Mobile, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Bloons TD 6
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,dupe,Bloons TD 6,,FFD0E0E3,3-10 August 2023,Bloons TD 6,2023.0,https://ru.wikipedia.org/w/index.php?title=Bloons_TD_6&action=edit&redlink=1,https://dtf.ru/sale/2006555-v-epic-games-store-startovala-razdacha-roglayta-loop-hero-ot-rossiyskih-razrabotchikov,Bloons TD 6,True,Bloons TD 6,36.42,117.22,591.21,116.69,78.0,"Mac, Mobile, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Bloons TD 6
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,dupe,Bloons TD 6,,FFD0E0E3,8-15 January 2026,Bloons TD 6,2026.0,https://ru.wikipedia.org/w/index.php?title=Bloons_TD_6&action=edit&redlink=1,https://vgtimes.ru/news/143856-halyava-raskryty-sleduyuschie-besplatnye-igry-v-egs.-nachalas-razdacha-bloons-td-6.html,Bloons TD 6,True,Bloons TD 6,36.42,117.22,591.21,116.69,78.0,"Mac, Mobile, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Bloons TD 6
2026-01-01 00:00:00,2026-01-08 00:00:00,Thursday,7,mobile,Skul: The Hero Slayer,,FFF4CCCC,,,,,,Skul: The Hero Slayer,True,Skul: The Hero Slayer,20.49,40.39,62.06,28.95,70.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2021.0,1.0,1.0,Skul: The Hero Slayer
2026-01-01 00:00:00,2026-01-08 00:00:00,Thursday,7,,Total War: THREE KINGDOMS,,FFB6D7A8,1-8 January 2026,Total War: Three Kingdoms,2026.0,https://ru.wikipedia.org/wiki/Total_War:_Three_Kingdoms,https://ixbt.games/news/2026/01/01/v-egs-nacalas-razdaca-kosmiceskogo-tarkova-i-globalnoi-strategii-total-war-three-kingdoms.html,Total War: THREE KINGDOMS,True,Total War: Three Kingdoms,46.03,67.2,672.95,72.3,77.0,"Linux, Mac, PC",2019.0,1.0,1.0,Total War: THREE KINGDOMS
2026-01-01 00:00:00,2026-01-08 00:00:00,Thursday,7,,Wildgate: Standard Edition,,FFB6D7A8,,,,,,Wildgate: Standard Edition,False,,,,,,,,,,,
2025-12-31 00:00:00,2026-01-01 00:00:00,Wednesday,1,dupe,Chivalry 2,,FFB6D7A8,30 May - 6 June 2024,Chivalry 2,2024.0,https://ru.wikipedia.org/wiki/Chivalry_2,https://3dnews.ru/1105690/v-epic-games-store-startovala-razdacha-chivalry-2-razrabotchiki-ustroili-nedelyu-dvojnogo-opyta-igra-dostupna-v-rossii,Chivalry 2,True,Chivalry II,13.29,43.26,70.58,35.81,73.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,0.9,Chivalry 2
2025-12-31 00:00:00,2026-01-01 00:00:00,Wednesday,1,dupe,Chivalry 2,,FFB6D7A8,31 December 2025,Chivalry 2,2025.0,https://ru.wikipedia.org/wiki/Chivalry_2,https://dtf.ru/games/4578650-chivalry-2-besplatnaya-razdacha-v-epic-games-store,Chivalry 2,True,Chivalry II,13.29,43.26,70.58,35.81,73.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,0.9,Chivalry 2
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine Classic Collection,Trine (Enchanted Edition),FFB6D7A8,30 December 2025,Trine Classic Collection,2025.0,https://ru.wikipedia.org/wiki/Trine,https://dtf.ru/games/4572572-razdacha-trine-classic-collection-v-epic-game-store,Trine Classic Collection,False,,,,,,,,,,,
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine 2: Complete Story,Trine 2: Complete Story,FFB6D7A8,,,,,,Trine 2: Complete Story,True,Trine 2: Complete Story,9.08,13.53,34.71,13.75,74.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, Wii U, Xbox One",2013.0,1.0,1.0,Trine 2: Complete Story
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine 3: The Artifacts of Power,Trine 3: The Artifacts of Power,FFB6D7A8,30 December 2025,Trine 3: The Artifacts of Power,2025.0,https://ru.wikipedia.org/wiki/Trine,https://dtf.ru/games/4572572-razdacha-trine-classic-collection-v-epic-game-store,Trine 3: The Artifacts of Power,True,Trine 3: The Artifacts of Power,4.94,6.05,7.01,6.14,65.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Trine 3: The Artifacts of Power
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine 4: The Nightmare Prince,Trine 4: The Nightmare Prince,FFB6D7A8,30 December 2025,Trine 4: The Nightmare Prince,2025.0,https://ru.wikipedia.org/wiki/Trine,https://dtf.ru/games/4572572-razdacha-trine-classic-collection-v-epic-game-store,Trine 4: The Nightmare Prince,True,Trine 4: The Nightmare Prince,10.22,12.89,15.56,13.11,78.0,"Google Stadia, Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Trine 4: The Nightmare Prince
2025-12-29 00:00:00,2025-12-30 00:00:00,Monday,1,,Viewfinder,,FFB6D7A8,29 December 2025,Viewfinder,2025.0,https://ru.wikipedia.org/w/index.php?title=Viewfinder_(%D0%B8%D0%B3%D1%80%D0%B0)&action=edit&redlink=1,https://3dnews.ru/1134624/ne-prosto-igra-a-peregivanie-epic-games-store-ustroil-razdachu-perspektivnoy-golovolomki-o-preobragenii-realnosti-viewfinder,Viewfinder,True,Viewfinder,4.11,5.13,6.2,5.12,78.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X/S",2023.0,1.0,1.0,Viewfinder
2025-12-28 00:00:00,2025-12-29 00:00:00,Sunday,1,,SKALD: Against the Black Priory,,FFB6D7A8,28 December 2025,Skald: Against the Black Priory,2025.0,https://ru.wikipedia.org/w/index.php?title=Skald:_Against_the_Black_Priory&action=edit&redlink=1,https://dtf.ru/games/4568773-razdacha-rpg-skald-against-the-black-priory-v-egs,SKALD: Against the Black Priory,True,SKALD: Against the Black Priory,16.91,20.53,26.65,22.55,79.0,"Mac, PC",2024.0,1.0,1.0,SKALD: Against the Black Priory
2025-12-27 00:00:00,2025-12-28 00:00:00,Saturday,1,,Cassette Beasts,,FFB6D7A8,27 December 2025,Cassette Beasts,2025.0,https://ru.wikipedia.org/w/index.php?title=Cassette_Beasts&action=edit&redlink=1,https://dtf.ru/games/4564819-razdacha-cassette-beasts-v-epic-games-store,Cassette Beasts,True,Cassette Beasts,19.75,27.28,54.48,28.46,80.0,"Linux, Nintendo Switch, PC, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Cassette Beasts
