#,GG,Games,Start,End,Unique,Individual Titles,Suggestions
,,,,,490,480,Email
140,,Football Manager 2020,9/17/2020,9/24/2020,,,
139,,Railway Empire,9/10/2020,9/17/2020,,,
138,,Where the Water Tastes like Wine,9/10/2020,9/17/2020,,,
137,,Into the Breach,9/3/2020,9/10/2020,,,
136,,Shadowrun Collection,8/27/2020,9/3/2020,,,
135,⭐,Hitman,8/27/2020,9/3/2020,,,
134,,God’s Trigger,8/20/2020,8/27/2020,,,
133,,Enter the Gungeon,8/20/2020,8/27/2020,,,
132,,Remnant: From the Ashes,8/13/2020,8/20/2020,,,
131,⭐,The Alto Collection,8/13/2020,8/20/2020,,,
130,,A Total War Saga: TROY,8/13/2020,8/20/2020,,,
129,,Wilmot’s Warehouse,8/6/2020,8/13/2020,,,
128,,"3 out of 10, EP 1",8/6/2020,8/13/2020,,,
127,,20XX,7/30/2020,8/6/2020,,,
126,,Superbrothers: Sword & Sworcery EP,7/30/2020,8/6/2020,,,
125,,Barony,7/30/2020,8/6/2020,,,
124,,Next Up Hero,7/23/2020,7/30/2020,,,
123,,Tacoma,7/23/2020,7/30/2020,,,
122,,Torchlight II,7/16/2020,7/23/2020,,,
121,,Lifeless Planet: Premier Edition,7/9/2020,7/16/2020,,,
120,,Killing Floor 2,7/9/2020,7/16/2020,,,
119,,The Escapists 2,7/9/2020,7/16/2020,,,
118,,Hue,7/2/2020,7/9/2020,,,
117,,Stranger Things 3: The Game,6/25/2020,7/2/2020,,,
116,,AER Memories of Old,6/25/2020,7/2/2020,,,
115,,Pathway,6/18/2020,6/25/2020,,,
114,,Ark: Survival Evolved,6/11/2020,6/18/2020,,,
113,,Samurai Shodown NeoGeo Collection,6/11/2020,6/18/2020,,,
112,,Overcooked,6/4/2020,6/11/2020,,,
111,,Sludge Life,5/28/2020,5/28/2021,,,
110,⭐,Borderlands: The Handsome Collection,5/28/2020,6/4/2020,,,
