,id,descr,namespace,orig_price,fmt_orig_price,tags
39,9142916d80f54720b01f8f62b21014be,Tandem : A Tale of Shadows redefines the puzzle platformer genre with a unique gameplay and exceptional aesthetics. Help Emma and the teddy bear Fenton solve the mystery of the disappearance of the famous magician Thomas Kane.,d1a3ff292b2f4ee289a83d7a91ae3458,999.0,$9.99,"[{'id': '1298'}, {'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '1151'}]"
40,087155540ecc47239c98c1265b40ba99,"Developed by Tango Gameworks and directed by Resident Evil series creator Shinji Mikami, The Evil Within embodies pure survival horror. 

As Detective Sebastian Castellanos, fight for survival with limited resources in a twisted world of nightmares.",d602fd70876141ba9bf4d54809c423d1,1999.0,$19.99,"[{'id': '1218'}, {'id': '21122'}, {'id': '19847'}, {'id': '21127'}, {'id': '21129'}, {'id': '9547'}, {'id': '21137'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1080'}, {'id': '1210'}, {'id': '1370'}, {'id': '21149'}]"
41,921e40c4c69f4d728914ca2a4f0aa407,"Eternal Threads is a single-player, first-person story-driven puzzle game of time manipulation, choice and consequence.",35eda4ff87f94a7491dc28175b8f3b4f,1999.0,$19.99,"[{'id': '1298'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1263'}]"
42,,,,,,
43,0c8b6d95ff2746648ccd356dbf941c12,"As stranded archaeologist, Amelia Cross, you must solve the puzzles of this mysterious world and find a way back home.",4b5f1eb366dc45f0920d397c01b291ba,2499.0,$24.99,"[{'id': '1298'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '9549'}, {'id': '1294'}]"
44,4c61edc4573143c5a06d521f5a7f32fe,"Entirely rebuilt from the ground up, Q.U.B.E. 10th Anniversary is the ultimate celebration of the decade-old original, bringing refined visuals, completely redesigned and revised gameplay sections, and a whole new chapter to the award-winning, brain-twisting first-person puzzler",ad43401ad02840c2b2bee5f1f1a59988,1999.0,$19.99,"[{'id': '1298'}, {'id': '19847'}, {'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '1294'}, {'id': '21150'}]"
45,363d0be3b57d4741a046d38da0e6355e,"Fight for survival in Blazing Sails, a fast-paced pirate PvP game! Create your own unique pirate and ship. Band together with other players to command your mighty vessel! Explore different game-modes, maps, weapons, ship types and more while eliminating other crews in epic battles on land and sea!",aee7dd76aa6746578f476dc47f8d1d7f,1499.0,$14.99,"[{'id': '1216'}, {'id': '1264'}, {'id': '21138'}, {'id': '1203'}, {'id': '21139'}, {'id': '21140'}, {'id': '21125'}, {'id': '21141'}, {'id': '9547'}, {'id': '29899'}, {'id': '21149'}, {'id': '21119'}]"
46,d9300ace164b41ac90a7b54e59d47953,"In Godlike Burger you run the craziest restaurant of the galaxy! Stun, poison and kill customers in many devious ways… and turn them into burger meat! And don’t worry: Alien customers will keep coming if you are smart about it, because cannibalism is just too damn tasty.",beb7e64d3da74ae780405da48cccb581,1999.0,$19.99,"[{'id': '1216'}, {'id': '21894'}, {'id': '19847'}, {'id': '1083'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}, {'id': '10719'}]"
47,4b19305fb8ec4640b4fa8d6ea5e5e3c4,"Explore a dark world brimming with hidden mysteries, master a diverse combat system, and inhabit the dual forces of two sisters in a coming-of-age dark fantasy story with fast-paced action, vicious enemies, and spectacular boss fights.",cb8afc06acb14f6a8cf3ab01f4b361ce,3999.0,$39.99,"[{'id': '1216'}, {'id': '21109'}, {'id': '1367'}, {'id': '19847'}, {'id': '20151'}, {'id': '20152'}, {'id': '9547'}, {'id': '20155'}, {'id': '20156'}, {'id': '9549'}]"
48,d3e5b556640144bfa5de2d5d3b283d68,"Join the latest trend in simulation games, bring out your creativity and make awesome looking models. Assemble, customize and display your creations, whether you’re a veteran or a novice. Get building, and get creative!",23499f64e5304139b514c3e674c5c0d6,1999.0,$19.99,"[{'id': '1393'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}]"
