title,from_date,giveaway_year,is_repeat,is_standalone_game,egs_meets_threshold,egs_original_price_usd,egs_publisher,egs_tags,mc_criticScore,hltb_main_story
Monument Valley,2025-12-25,2025,True,True,True,7.99,ustwo games,"Casual, Puzzle, Single Player, Windows, Adventure",89.0,1.46
Monument Valley 2,2025-12-25,2025,True,True,True,7.99,ustwo games,"Casual, Puzzle, Achievements, Single Player, Windows, Adventure",83.0,1.55
Disco Elysium: The Final Cut,2025-12-25,2025,False,True,True,39.99,ZA/UM,"Diverse Characters, RELAXING, Cloud Saves, Investigation, Achievements, Creative Community, Windows, Unique Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, RPG, Educational, Single Player, Inclusive Character Customization, Adventure, Quickly Understand the Controls, Mac OS",89.0,23.73
The Callisto Protocol,2025-12-24,2025,True,True,True,59.99,"KRAFTON, Inc.","Horror, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Creative Community, Achievements, Shooter, Single Player, Windows, Controller Support, Quickly Understand the Controls",69.0,10.1
The Callisto Protocol,2025-12-24,2025,True,True,True,59.99,"KRAFTON, Inc.","Horror, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Creative Community, Achievements, Shooter, Single Player, Windows, Controller Support, Quickly Understand the Controls",69.0,10.1
Bloodstained: Ritual of the Night,2025-12-23,2025,False,True,True,39.99,505 Games,"Online Multiplayer, Diverse Characters, RELAXING, Kind Community, Fantasy, Achievements, Windows, Controller Support, Beautiful Visuals, Co-op, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, RPG, Action-Adventure, Cross Platform, Single Player, Inclusive Character Customization, Quickly Understand the Controls, Local Multiplayer, Great for Beginners",83.0,14.04
Train Sim World® 6: Spirit of Steam: Liverpool Lime Street - Crewe,2025-12-22,2025,False,False,False,,,,76.0,
Paradise Killer,2025-12-22,2025,False,True,True,19.99,Surprise Attack Pty Ltd DBA Fellow Traveller Games,"Single Player, Windows, Adventure, Controller Support, First Person, Indie, Great for Beginners",81.0,11.57
Sorry We're Closed,2025-12-21,2025,False,True,True,24.99,Akupara Games,"Horror, RPG, Achievements, Survival, Single Player, Windows, Inclusive Character Customization, Controller Support, Great for Beginners",83.0,6.92
Blood West,2025-12-20,2025,False,True,True,24.99,Hyperstrange,"Cloud Saves, Achievements, Challenging Combat, Windows, First Person, Unique Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Shooter, Single Player, Stealth, Quickly Understand the Controls",80.0,13.56
Eternights,2025-12-19,2025,False,True,True,29.99,Studio Sai,"Action, Diverse Characters, Achievements, Windows, Controller Support, Indie, Recommend this Game, Amazing Storytelling, Great Boss Battles, Extremely Fun, RPG, Single Player, Inclusive Character Customization, Quickly Understand the Controls, Great for Beginners",68.0,11.5
Shotgun King: The Final Checkmate,2025-12-18,2025,False,True,False,,,,75.0,1.51
Jotunnslayer: Hordes of Hel,2025-12-18,2025,False,True,True,14.99,"Grindstone, s.r.o.","Action, Diverse Characters, RELAXING, Cloud Saves, Achievements, Windows, Controller Support, Indie, Recommend this Game, Amazing Characters, Great Boss Battles, Extremely Fun, RPG, Inclusive Character Customization, Quickly Understand the Controls, Great for Beginners",79.0,6.18
Hogwarts Legacy,2025-12-12,2025,False,True,True,59.99,Warner Bros. Games,"Action, Diverse Characters, RELAXING, Cloud Saves, Achievements, Creative Community, Windows, Beautiful Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Great Boss Battles, Extremely Fun, RPG, Single Player, Inclusive Character Customization, Adventure, Quickly Understand the Controls, Great for Beginners",84.0,26.69
Dead Cells,2025-12-11,2025,False,True,True,24.99,Motion Twin,"Diverse Characters, RELAXING, Cloud Saves, Creative Community, Challenging Combat, Windows, Indie, Unique Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Rogue-Lite, Quickly Understand the Controls, Metroidvania, Great for Beginners",89.0,14.07
The Darkside Detective,2025-12-04,2025,False,True,True,14.99,Akupara Games,"Diverse Characters, RELAXING, Exploration, Windows, Controller Support, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Comedy, Adventure, Quickly Understand the Controls, Mac OS, Great for Beginners",77.0,3.71
The Darkside Detective,2025-12-04,2025,False,True,True,14.99,Akupara Games,"Diverse Characters, RELAXING, Exploration, Windows, Controller Support, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Comedy, Adventure, Quickly Understand the Controls, Mac OS, Great for Beginners",77.0,3.71
The Darkside Detective,2025-12-04,2025,False,True,True,14.99,Akupara Games,"Diverse Characters, RELAXING, Exploration, Windows, Controller Support, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Comedy, Adventure, Quickly Understand the Controls, Mac OS, Great for Beginners",77.0,3.71
The Darkside Detective,2025-12-04,2025,False,True,True,14.99,Akupara Games,"Diverse Characters, RELAXING, Exploration, Windows, Controller Support, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Comedy, Adventure, Quickly Understand the Controls, Mac OS, Great for Beginners",77.0,3.71
Jackbox Party Pack 4,2025-12-04,2025,False,True,True,24.99,"Jackbox Games, Inc.","Casual, Multiplayer, Trivia, Party, Windows, OSX",74.0,3.76
Universe for Sale,2025-11-27,2025,False,True,True,14.99,Akupara Games,"Exploration, Single Player, Windows, Adventure, Indie",80.0,5.29
Universe for Sale,2025-11-27,2025,False,True,True,14.99,Akupara Games,"Exploration, Single Player, Windows, Adventure, Indie",80.0,5.29
Zoeti,2025-11-20,2025,False,True,True,19.99,Akupara Games,"Turn-Based Strategy, RELAXING, Cloud Saves, Achievements, Windows, Recommend this Game, Extremely Fun, Single Player, Rogue-Lite, Card Game, Quickly Understand the Controls, Mac OS, Great for Beginners",69.0,7.36
Godzilla Voxel Wars,2025-11-20,2025,False,True,True,14.99,"TOHO CO.,LTD.","Turn-Based Strategy, Great for Quick Sessions, Diverse Characters, RELAXING, Cloud Saves, Achievements, Creative Community, Challenging Combat, Windows, Indie, Playful Visuals, Puzzle, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Quickly Understand the Controls, Challenging Puzzles, Mac OS, Great for Beginners",,18.73
Zoeti,2025-11-20,2025,False,True,True,19.99,Akupara Games,"Turn-Based Strategy, RELAXING, Cloud Saves, Achievements, Windows, Recommend this Game, Extremely Fun, Single Player, Rogue-Lite, Card Game, Quickly Understand the Controls, Mac OS, Great for Beginners",69.0,7.36
Scourgebringer,2025-11-13,2025,False,True,True,16.99,Dear Villagers,"Action, Great for Quick Sessions, Cloud Saves, Challenging Combat, Rogue-Like, Windows, Indie, Recommend this Game, Amazing Characters, Amazing Storytelling, Great Boss Battles, Extremely Fun, Single Player, Quickly Understand the Controls, Mac OS",76.0,8.13
Scourgebringer,2025-11-13,2025,False,True,True,16.99,Dear Villagers,"Action, Great for Quick Sessions, Cloud Saves, Challenging Combat, Rogue-Like, Windows, Indie, Recommend this Game, Amazing Characters, Amazing Storytelling, Great Boss Battles, Extremely Fun, Single Player, Quickly Understand the Controls, Mac OS",76.0,8.13
